,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,0.31129155,0.2826207,0.27804464,0.41067475,0.6061366,0.41236663,0.24550274,0.30334827,0.38635105,0.23212492,1.0,0.1315772,0.33996236,0.580727,0.15549289,0.35030037,0.30551112,0.57117474,0.28508067,0.2731176,0.22887754,0.18927337,0.27315605,0.22886133,0.39891323,0.33155477,0.25207716,0.29535997,0.291335,0.42371285,0.10068855,0.30196756,0.27310216,0.5282004,0.4554879,0.16770798,0.3747977,0.22811916,0.2598402,0.22839989,0.18535176,0.4597523,0.04843053,0.25843185,0.2922129,0.40587258,0.33128622,0.42522043,0.52538127,0.40861207,0.14875522,0.26103926,0.49890268,0.46227232,0.5181695,0.40618962,0.32932976,0.49051654,0.63801736,0.49667147,0.17143005,0.3238972,0.52808636,0.4686306,0.2192963,0.33991984,0.4234283,0.5758351,0.28759158,0.41275015,0.2661575,0.5622388,0.27347815,0.41530418,0.38839626,0.5276053,0.34772542,0.32561308,0.180722,0.43865702,0.29585135,0.46859145,0.5262361,0.32094312,0.16986871,0.5416963,0.2587065,0.37048134,0.35638022,0.30660313,0.43734896,0.34971622,0.4308842,0.09246088,0.16467096,0.42667294,0.29882836,0.103464305,0.28084433,0.37906703
11,0.2369732,0.3341899,0.36892006,0.1599645,0.22303206,0.38008118,0.20580478,0.34384823,0.16720557,0.2807211,0.1315772,1.0,0.4114949,0.3570794,0.20242223,0.3547575,0.1937446,0.23577574,0.24192181,0.4553008,0.19267175,0.2592399,0.3384352,0.3936311,0.092701994,0.2558453,0.19736883,0.34198236,0.15149128,0.2273112,0.21286598,0.2691242,0.34830812,0.29614246,-0.023630615,0.1925988,0.254789,0.30183086,0.33222473,0.32726097,0.16973865,0.111361235,0.28797722,0.43383777,0.34868395,0.4222529,0.22055387,0.33154017,0.11423296,0.32482046,0.19479315,0.22590429,0.27099353,0.19873208,0.20760813,0.24957049,0.33382154,0.20805576,0.26792616,0.30848792,0.20687288,0.19804476,0.22517413,0.22349268,0.32606587,0.31681246,0.291827,0.36766255,0.24208513,0.13407318,0.15728925,0.20244142,0.6052964,0.2976017,0.33712357,0.2896534,0.22035608,0.21587184,0.22253896,0.3081835,0.38788348,0.22860286,0.059552312,0.43713886,0.21593869,0.29623854,0.33735716,0.3366534,0.32133216,0.2711054,0.23109256,0.39025328,0.23871975,0.25117972,0.18414724,0.24468955,0.32099557,0.38270193,0.3681685,0.1404137
12,0.39677596,0.3901658,0.5326859,0.16094247,0.31247997,0.53342766,0.6623564,0.35828465,0.21599987,0.42062068,0.33996236,0.4114949,1.0000001,0.46396106,0.4631795,0.5055335,0.381082,0.43362224,0.24359792,0.44110048,0.39897013,0.46034014,0.7052379,0.7213135,0.28793484,0.46041697,0.2962953,0.5581029,0.25182655,0.37012357,0.31605953,0.48791373,0.50126094,0.5813753,0.21651977,0.47455198,0.5384884,0.3938899,0.31749478,0.40041092,0.3870722,0.31251636,0.48183566,0.6089145,0.39897442,0.6366781,0.38499555,0.47649264,0.3174372,0.36123735,0.33234638,0.50789475,0.508363,0.30467513,0.31405228,0.40543103,0.5053858,0.3063476,0.43680638,0.5175931,0.485444,0.48302495,0.4700927,0.37080178,0.48854774,0.4360941,0.6511436,0.3944742,0.4144382,0.37155324,0.2055516,0.40415776,0.4325013,0.38329655,0.44229788,0.44485563,0.5779963,0.47610724,0.2323806,0.4308768,0.4510497,0.63516223,0.37355644,0.58265895,0.34108973,0.53093827,0.44066566,0.43780196,0.5320771,0.41430402,0.40359613,0.5030904,0.5976058,0.213856,0.35002565,0.43655467,0.49335054,0.30121544,0.4000569,0.34763893
13,0.4079104,0.5278624,0.2949414,0.48726362,0.59378594,0.5860379,0.19636613,0.4526438,0.39307126,0.32567963,0.580727,0.3570794,0.46396106,1.0000002,0.121506736,0.51095474,0.19134848,0.58884674,0.3177729,0.39867604,0.26657066,0.28113812,0.28389764,0.2814675,0.1329488,0.3853935,0.28933847,0.44376105,0.18639916,0.47206858,0.19129863,0.25068745,0.47562614,0.4905954,0.3126257,0.13070974,0.3888151,0.3168192,0.37480772,0.40595967,0.1357349,0.16768146,0.38910472,0.35040393,0.5030016,0.59260005,0.4678198,0.56668437,0.3160621,0.5110709,0.31404024,0.311664,0.50912,0.4129762,0.59003043,0.29429662,0.4376256,0.508459,0.63186157,0.5280401,0.14270428,0.3305642,0.34391478,0.5076543,0.32134694,0.48021787,0.51196045,0.7428558,0.35256702,0.34879553,0.3256532,0.43399835,0.42257684,0.48820928,0.48592442,0.46839756,0.34784913,0.39602965,0.15415739,0.5271522,0.41215974,0.41784668,0.3213235,0.45555854,0.12414202,0.56752646,0.47957808,0.36746204,0.53231394,0.532998,0.49294007,0.56555945,0.40344194,0.22267464,0.28355706,0.42017788,0.4960223,0.26366588,0.25713435,0.119468644
14,0.32821742,0.1492033,0.37573582,0.0024331864,0.16795182,0.17592335,0.7461193,0.09542607,0.15768963,0.18907914,0.15549289,0.20242223,0.4631795,0.121506736,1.0,0.1599798,0.11627404,0.15734443,0.047850315,0.22062315,0.32535452,0.38360694,0.59043795,0.57572806,0.17451786,0.41540623,0.15267172,0.16997778,0.15525362,0.1434066,0.45082366,0.29251382,0.3851003,0.45226464,0.14622891,0.9886217,0.2217409,0.12019045,0.08971762,0.11055926,0.4641745,0.26188278,0.22277886,0.6004896,0.27182153,0.38705155,0.15569079,0.42597228,0.12821433,0.13674909,0.20871459,0.3349534,0.32635704,0.13359493,0.14312012,0.50120616,0.12955952,0.15573817,0.16480291,0.26306388,0.9802835,0.19912624,0.285193,0.18218297,0.25889078,0.116830915,0.24660338,0.18076806,0.10159515,0.108016305,0.08771457,0.24043256,0.12740016,0.4269734,0.21810621,0.24602526,0.33505785,0.28987032,0.11555846,0.14389,0.16114411,0.17673486,0.16295725,0.24739635,0.16457373,0.20143807,0.18989697,0.28545058,0.3300379,0.22089309,0.20923562,0.29793882,0.3205877,0.087901086,0.20617048,0.21265846,0.2161931,0.075993076,0.16914475,0.25694573
15,0.30177101,0.39673275,0.3578093,0.2489143,0.3629468,0.54344165,0.2412217,0.4458797,0.34467903,0.35523427,0.35030037,0.3547575,0.5055335,0.51095474,0.1599798,0.9999999,0.3871839,0.43868783,0.4672469,0.43704885,0.28802314,0.33526126,0.4186293,0.42323577,0.3400046,0.3473106,0.42930007,0.68218356,0.29742688,0.3465449,0.2001057,0.33272374,0.40075725,0.4839574,0.24091059,0.1503599,0.5666087,0.49122253,0.3291668,0.54152495,0.23557746,0.2974784,0.39252007,0.44962287,0.49955884,0.5683054,0.44285408,0.39841622,0.3872739,0.4145351,0.31547904,0.3102363,0.43168056,0.354822,0.44096124,0.34227884,0.54755205,0.25051397,0.48089907,0.49195683,0.16970265,0.45809504,0.44980502,0.47717345,0.4932176,0.4869886,0.44991064,0.41756117,0.49984735,0.3522176,0.1706441,0.37261924,0.4189738,0.23460975,0.47156823,0.49843818,0.47527206,0.3919958,0.18912727,0.444659,0.58032376,0.57843006,0.37453213,0.47553825,0.29573596,0.57752824,0.3630787,0.3851462,0.59069324,0.4110514,0.46777052,0.52185297,0.5450735,0.14087462,0.31232873,0.37382543,0.42375842,0.27377433,0.3737329,0.2984441
16,0.23248011,0.26777616,0.31813812,0.14199916,0.10081443,0.17739806,0.26477244,0.1879772,0.21155237,0.22370562,0.30551112,0.1937446,0.381082,0.19134848,0.11627404,0.3871839,1.0000001,0.3610926,0.3963961,0.1084182,0.097636186,0.22997358,0.348532,0.29710025,0.15205011,0.22950794,0.43414152,0.29594317,0.2754498,0.3413341,0.02752966,0.34404433,0.17449978,0.38639617,0.01797517,0.14278367,0.3860076,0.4558388,0.35048634,0.4255895,0.070945665,0.44549567,0.14265224,0.24396878,0.20166457,0.27047735,0.16477193,0.12717846,0.28900626,0.14748287,0.101418585,0.26777434,0.4581827,0.21935585,0.124278784,0.25389045,0.6036998,0.16293746,0.23368946,0.26446074,0.13139054,0.454429,0.40111,0.2508091,0.36902887,0.48915243,0.44918275,0.20670187,0.4595933,0.42625415,-0.0029152893,0.4034931,0.18025005,0.02795704,0.49994993,0.27997422,0.23668486,0.27200395,0.04033675,0.17804441,0.20417175,0.49774045,0.43152243,0.34822956,0.17366302,0.33342147,0.14414677,0.32575178,0.429263,0.14265129,0.36277515,0.14236559,0.5024809,0.027273243,0.12802385,0.23675819,0.17556882,0.091030404,0.16083644,0.14048219
17,0.327838,0.49418417,0.29891735,0.30639294,0.4195847,0.6032829,0.20580114,0.4239698,0.36962333,0.34791368,0.57117474,0.23577574,0.43362224,0.58884674,0.15734443,0.43868783,0.3610926,1.0000002,0.23229563,0.45882928,0.20301756,0.22088443,0.36557028,0.3472308,0.20272264,0.4242122,0.3421712,0.4168826,0.2241541,0.47670168,0.15304601,0.31357765,0.4006158,0.44653285,0.39166474,0.15764144,0.47910666,0.29409105,0.35406578,0.3953742,0.10247274,0.25103906,0.29364058,0.31906497,0.45251197,0.45589513,0.36535013,0.5832987,0.35125458,0.46321929,0.26318535,0.32462972,0.38475144,0.5891183,0.4721189,0.39030263,0.36949328,0.60757774,0.6080291,0.49366617,0.15707165,0.34462464,0.36224282,0.6832211,0.3749333,0.44593343,0.5018395,0.65715015,0.38476086,0.50105256,0.24911179,0.45335555,0.4479043,0.42491317,0.4139181,0.5370689,0.28154764,0.31343418,0.36591357,0.6499206,0.3827302,0.42097712,0.41783774,0.43228585,0.24990018,0.58855605,0.35201615,0.44491544,0.42544907,0.41845316,0.5743804,0.49065852,0.39522055,0.17986184,0.26065922,0.40366662,0.4288715,0.3888039,0.38434476,0.18184954
18,0.2930113,0.22254585,0.2369386,0.17313962,0.16280383,0.28893334,0.13533925,0.33981067,0.19327086,0.12512831,0.28508067,0.24192181,0.24359792,0.3177729,0.047850315,0.4672469,0.3963961,0.23229563,0.99999976,0.23862013,0.115327254,0.21174642,0.24468681,0.24294326,0.24833539,0.13572738,0.29418623,0.49484143,0.20569512,0.28977877,0.019572182,0.23626003,0.23140715,0.3775732,0.18762922,0.03574828,0.38835916,0.49468893,0.29558858,0.49286306,0.08181305,0.33052447,0.14450693,0.23671487,0.3042844,0.353799,0.35303053,0.27692384,0.37980187,0.2718813,0.25084376,0.20715988,0.44752064,0.2598455,0.21115637,0.30339244,0.5597688,0.12775433,0.41015327,0.305927,0.057670377,0.27681488,0.34427342,0.30091938,0.38160604,0.43733585,0.28585833,0.2908945,0.27795517,0.3483523,0.0023806083,0.3984748,0.3322631,0.12256542,0.52122396,0.38175988,0.3517713,0.3098486,-0.0030373875,0.21056016,0.36758065,0.4471799,0.32088137,0.38815176,0.19752173,0.42208368,0.3308963,0.19894779,0.48696756,0.1471175,0.24356899,0.24132106,0.38159713,0.13996609,0.2600236,0.291035,0.3121927,0.117544,0.25794232,0.13327815
19,0.2819177,0.38748288,0.35229534,0.1922564,0.25943193,0.51328707,0.20960684,0.38097572,0.4318645,0.4262811,0.2731176,0.4553008,0.44110048,0.39867604,0.22062315,0.43704885,0.1084182,0.45882928,0.23862013,1.0000001,0.28156814,0.24667117,0.40994602,0.4289255,0.2284152,0.30461296,0.21702972,0.38721544,0.24813774,0.36447442,0.28523853,0.21052173,0.46797317,0.46467572,0.17116094,0.20476452,0.32685578,0.24413893,0.252069,0.3106663,0.25193357,0.18291673,0.41009027,0.43702218,0.40944237,0.5171056,0.2954535,0.4956029,0.28453258,0.35249323,0.25753447,0.3054104,0.24225765,0.42222947,0.26697478,0.33313063,0.25979295,0.40539217,0.39976177,0.40371272,0.2353513,0.29664505,0.31289792,0.36543116,0.4202358,0.3076759,0.3423692,0.40576458,0.37899548,0.2712235,0.18707208,0.27948153,0.42909506,0.38726652,0.24962364,0.46961707,0.36764508,0.2839731,0.4036137,0.39446896,0.44324982,0.26658016,0.2103132,0.44192553,0.3072782,0.3947783,0.3706286,0.38853216,0.34481084,0.42337394,0.27533028,0.48403797,0.31870705,0.22454539,0.26051697,0.35411507,0.35379562,0.48546758,0.41018885,0.28358948
